log2m,k,n,t,p1len,p1alm,p2len,p2alm,p3len,p3alm,tpr,fpr,fpr1,fpr3
14,0.000,1536,512,256.0,254,512,512,256.0,254,1.000,0.992,0.992,0.992
14,0.125,1536,512,256.0,240,512,512,256.0,254,1.000,0.965,0.938,0.992
14,0.250,1536,512,256.0,239,512,512,256.0,254,1.000,0.963,0.934,0.992
14,0.375,1536,512,256.0,232,512,512,256.0,254,1.000,0.949,0.906,0.992
14,0.500,1536,512,256.0,226,512,512,256.0,252,1.000,0.934,0.883,0.984
14,0.625,1536,512,256.0,220,512,512,256.0,252,1.000,0.922,0.859,0.984
14,0.750,1536,512,256.0,213,512,512,256.0,241,1.000,0.887,0.832,0.941
14,0.875,1536,512,256.0,212,512,512,256.0,241,1.000,0.885,0.828,0.941
14,1.000,1536,512,256.0,204,512,512,256.0,243,1.000,0.873,0.797,0.949
14,1.125,1536,512,256.0,190,512,512,256.0,226,1.000,0.812,0.742,0.883
14,1.250,1536,512,256.0,190,512,512,256.0,202,1.000,0.766,0.742,0.789
14,1.375,1536,512,256.0,189,512,512,256.0,202,1.000,0.764,0.738,0.789
14,1.500,1536,512,256.0,186,512,512,256.0,202,1.000,0.758,0.727,0.789
14,1.625,1536,512,256.0,186,512,512,256.0,202,1.000,0.758,0.727,0.789
14,1.750,1536,512,256.0,185,512,512,256.0,202,1.000,0.756,0.723,0.789
14,1.875,1536,512,256.0,141,512,512,256.0,156,1.000,0.580,0.551,0.609
14,2.000,1536,512,256.0,140,512,512,256.0,156,1.000,0.578,0.547,0.609
14,2.125,1536,512,256.0,139,512,512,256.0,150,1.000,0.564,0.543,0.586
14,2.250,1536,512,256.0,119,512,512,256.0,143,1.000,0.512,0.465,0.559
14,2.375,1536,512,256.0,113,512,512,256.0,87,1.000,0.391,0.441,0.340
14,2.500,1536,512,256.0,80,512,512,256.0,43,1.000,0.240,0.312,0.168
14,2.625,1536,512,256.0,45,512,512,256.0,23,1.000,0.133,0.176,0.090
14,2.750,1536,512,256.0,30,512,512,256.0,17,1.000,0.092,0.117,0.066
14,2.875,1536,512,256.0,21,512,512,256.0,15,1.000,0.070,0.082,0.059
14,3.000,1536,512,256.0,19,512,512,256.0,12,1.000,0.061,0.074,0.047
14,3.125,1536,512,256.0,11,512,512,256.0,11,1.000,0.043,0.043,0.043
14,3.250,1536,512,256.0,11,512,512,256.0,7,1.000,0.035,0.043,0.027
14,3.375,1536,512,256.0,9,512,512,256.0,7,1.000,0.031,0.035,0.027
14,3.500,1536,512,256.0,5,512,512,256.0,4,1.000,0.018,0.020,0.016
14,3.625,1536,512,256.0,5,512,512,256.0,3,1.000,0.016,0.020,0.012
14,3.750,1536,512,256.0,4,512,512,256.0,3,1.000,0.014,0.016,0.012
14,3.875,1536,512,256.0,4,512,512,256.0,2,1.000,0.012,0.016,0.008
14,4.000,1536,512,256.0,4,512,512,256.0,2,1.000,0.012,0.016,0.008
