src,dst,attack
104.152.70.195,94.6.166.109,0
67.144.242.5,139.230.84.112,0
161.69.48.219,161.69.45.5,0
67.144.242.5,139.230.84.112,0
74.71.98.134,216.241.76.219,0
74.71.98.134,216.241.76.219,0
221.112.150.193,13.19.47.147,0
210.188.17.38,199.62.241.248,0
67.144.242.5,139.230.84.112,0
153.193.47.68,153.193.151.120,0
100.126.5.20,184.100.40.46,0
146.2.212.117,139.16.85.56,0
68.126.220.71,128.180.237.152,0
90.10.108.198,111.205.228.124,0
90.10.108.198,111.205.228.124,0
161.69.48.219,161.69.45.5,0
55.213.231.210,104.128.1.144,0
158.10.87.86,3.253.33.212,0
208.233.254.64,73.0.235.180,0
198.54.233.215,208.163.38.183,0
69.199.36.233,209.184.84.245,0
146.14.10.6,29.190.92.231,0
182.225.210.246,43.206.171.27,0
207.136.189.178,1.96.167.9,0
43.139.101.141,1.12.38.67,0
99.158.46.166,1.47.76.203,0
65.181.240.145,5.252.33.35,0
39.104.217.1,202.188.92.190,0
43.139.101.155,1.15.19.145,0
49.131.39.210,73.6.242.199,0
73.149.224.242,111.205.25.209,0
66.213.255.189,43.252.225.245,0
161.69.48.219,161.69.45.5,0
13.245.91.60,1.96.166.213,0
66.106.210.238,145.138.232.198,0
67.144.242.5,139.230.84.112,0
43.139.101.129,1.15.182.177,0
99.158.46.166,1.47.76.203,0
43.139.101.97,1.150.38.64,0
67.144.242.5,139.230.84.112,0
66.106.210.238,145.138.232.198,0
74.71.98.134,216.241.76.219,0
220.27.84.26,1.124.120.162,0
146.25.14.15,110.153.48.1,0
220.27.84.26,1.124.120.162,0
74.71.98.134,216.241.76.219,0
43.139.101.120,1.147.57.36,0
66.106.210.238,145.138.232.198,0
66.106.210.238,145.138.232.198,0
158.10.87.86,3.253.33.212,0
111.205.228.218,199.86.52.149,0
161.69.48.219,161.69.45.5,0
65.141.150.245,201.197.216.23,0
119.239.118.188,1.96.167.230,0
43.204.28.8,210.29.60.184,0
13.245.91.60,1.96.166.213,0
24.63.199.164,0.0.0.0,0
43.139.101.101,1.0.65.212,0
146.25.14.15,110.153.48.1,0
121.187.110.53,3.251.148.207,0
126.98.156.173,1.155.244.58,0
66.106.210.238,145.138.232.198,0
198.87.237.246,146.14.4.81,0
198.87.237.246,146.14.4.81,0
66.106.210.238,145.138.232.198,0
161.69.48.219,161.69.45.5,0
104.123.153.155,210.29.60.25,0
198.54.233.220,208.163.38.187,0
128.228.53.110,75.90.119.4,0
43.131.50.138,111.205.196.229,0
65.181.240.145,5.252.33.35,0
199.141.0.177,208.163.38.71,0
121.188.136.88,43.239.66.36,0
13.245.91.60,1.96.166.213,0
91.176.156.71,111.205.228.172,0
74.71.98.134,216.241.76.219,0
104.120.237.77,68.230.128.217,0
149.240.20.143,43.8.200.142,0
102.44.76.198,201.197.200.26,0
5.231.18.218,207.136.84.130,0
161.69.48.219,161.69.45.5,0
120.165.219.203,1.102.80.237,0
13.245.91.60,1.96.166.213,0
66.106.210.238,145.138.232.198,0
146.2.214.223,222.50.24.238,0
65.181.240.145,5.252.33.35,0
66.6.236.134,5.252.100.89,0
99.141.114.106,1.96.223.185,0
66.106.210.238,145.138.232.198,0
216.121.107.221,12.242.253.169,0
13.245.91.60,1.96.166.213,0
74.71.98.134,216.241.76.219,0
91.176.156.71,111.205.228.172,0
221.48.95.128,43.206.171.27,0
5.231.18.218,207.136.84.130,0
208.233.254.84,73.0.235.172,0
220.27.151.97,67.231.118.176,0
161.69.48.219,161.69.45.5,0
116.164.64.98,1.111.223.200,0
131.56.26.233,5.252.100.89,0
43.17.218.68,221.195.231.29,0
13.245.91.60,1.96.166.213,0
201.197.218.183,216.150.2.13,0
69.94.45.34,86.116.184.79,0
13.245.91.60,1.96.166.213,0
13.245.91.60,1.96.166.213,0
15.16.241.139,134.38.152.138,0
67.227.44.106,35.240.203.213,0
161.69.48.219,161.69.45.5,0
43.224.185.36,208.163.38.12,0
146.2.215.129,214.19.247.199,0
74.71.98.134,216.241.76.219,0
43.202.172.1,208.233.255.4,0
20.151.74.49,111.205.228.165,0
104.152.68.54,90.137.126.99,0
20.151.74.49,111.205.228.165,0
74.71.98.134,216.241.76.219,0
67.231.118.179,220.27.151.110,0
161.69.48.219,161.69.45.5,0
131.56.26.233,5.252.100.89,0
128.45.115.155,1.96.167.79,0
120.164.189.126,1.96.167.79,0
220.27.151.114,67.231.118.172,0
199.141.50.54,43.42.218.72,0
204.202.140.5,1.96.167.79,0
43.139.101.134,1.1.149.182,0
61.207.118.78,111.204.84.127,0
13.245.91.60,1.96.166.213,0
161.69.48.219,161.69.45.5,0
43.139.101.155,1.15.19.145,0
104.152.76.174,94.13.234.172,0
74.71.98.134,216.241.76.219,0
43.139.101.106,1.15.174.173,0
99.158.46.166,1.47.38.193,0
74.71.98.134,216.241.76.219,0
104.152.68.54,90.137.126.99,0
126.41.107.231,1.96.192.38,0
99.158.46.166,1.47.38.193,0
131.56.26.233,5.252.100.89,0
153.193.117.204,10.97.82.116,0
103.174.206.133,153.193.184.117,0
161.69.48.219,161.69.45.5,0
145.142.225.13,129.197.192.14,0
120.164.189.126,1.96.167.79,0
43.139.101.121,1.15.174.173,0
199.50.8.221,104.239.136.122,0
74.71.98.134,216.241.76.219,0
216.226.138.194,102.0.196.107,0
70.255.163.31,210.108.43.155,0
70.255.163.31,210.108.43.155,0
153.193.117.204,10.97.82.116,0
161.69.48.219,161.69.45.5,0
74.71.98.134,216.241.76.219,0
67.99.132.160,100.83.16.163,0
29.160.133.82,43.8.172.181,0
153.149.86.164,133.206.245.113,0
43.204.28.8,210.29.60.184,0
67.201.31.202,67.231.121.86,0
216.226.138.194,102.0.196.107,0
153.193.117.204,10.97.82.116,0
161.69.48.219,161.69.45.5,0
153.193.107.47,67.97.194.162,0
116.164.32.108,1.2.217.82,0
216.226.138.194,102.0.196.107,0
109.147.8.90,1.158.17.123,0
