src,dst,attack
146.2.215.129,143.187.227.209,0
158.10.87.86,3.253.33.212,0
43.139.101.168,1.154.63.204,0
140.85.234.73,35.240.203.247,0
221.46.220.117,43.16.66.244,0
161.69.48.219,161.69.45.5,0
153.193.46.138,153.193.190.49,0
175.110.225.18,43.21.195.64,0
128.84.70.33,5.241.241.45,0
200.28.65.37,146.39.89.233,0
216.121.106.54,50.27.252.114,0
73.1.203.2,210.29.85.233,0
221.46.220.117,43.16.66.244,0
161.69.48.219,161.69.45.5,0
153.193.46.138,153.193.190.49,0
99.158.44.98,1.33.137.65,0
69.26.86.111,29.175.227.175,0
182.198.229.216,216.40.216.155,0
136.210.172.71,74.52.238.149,0
101.10.244.205,129.156.210.80,0
158.10.87.86,3.253.33.212,0
137.3.28.82,100.73.161.90,0
65.162.139.43,1.32.206.87,0
221.46.220.117,43.16.66.244,0
207.152.32.141,1.96.167.40,0
210.22.15.86,153.193.8.49,0
99.158.44.98,1.33.137.65,0
161.69.48.219,161.69.45.5,0
153.193.46.138,153.193.190.49,0
99.158.44.98,1.33.137.65,0
117.242.100.18,169.175.138.103,0
146.2.215.129,139.185.218.173,0
28.232.42.252,1.108.203.123,0
28.82.49.198,1.96.167.230,0
15.149.5.14,177.197.101.133,0
73.0.18.53,221.195.231.19,0
87.225.55.208,0.0.0.0,0
221.46.220.117,43.16.66.244,0
161.69.48.219,161.69.45.5,0
137.10.168.74,146.133.168.172,0
136.210.172.71,74.52.238.149,0
153.193.46.138,153.193.190.49,0
139.146.145.58,35.240.203.196,0
139.146.145.58,35.240.203.196,0
28.112.177.42,1.96.167.122,0
66.100.106.28,43.236.96.160,0
201.128.63.55,35.240.203.240,0
117.127.62.136,1.124.124.10,0
123.104.192.218,1.148.245.116,0
198.88.218.136,198.88.219.22,0
68.171.242.26,35.240.210.243,0
221.46.220.117,43.16.66.244,0
161.69.48.219,161.69.45.5,0
153.193.46.138,153.193.190.49,0
112.83.107.219,1.96.167.92,0
136.210.172.71,74.52.238.149,0
68.126.216.133,112.136.42.247,0
198.97.202.122,111.205.116.140,0
28.76.222.169,1.96.167.230,0
221.46.220.117,43.16.66.244,0
5.252.33.219,3.228.8.107,0
161.69.48.219,161.69.45.5,0
153.193.46.138,153.193.190.49,0
136.210.172.71,74.52.238.149,0
15.120.50.247,58.13.182.178,0
43.139.101.143,1.150.38.64,0
15.120.50.247,58.13.182.178,0
74.79.109.222,221.46.220.110,0
104.77.151.21,153.193.143.27,0
221.157.7.18,221.91.13.210,0
210.22.15.86,153.193.8.49,0
220.85.104.0,168.147.68.117,0
70.238.35.36,210.29.63.180,0
221.46.220.117,43.16.66.244,0
161.69.48.219,161.69.45.5,0
153.193.46.138,153.193.190.49,0
65.72.195.229,105.69.147.246,0
146.2.213.3,215.166.62.149,0
43.139.101.102,1.2.95.126,0
70.238.35.36,210.29.63.180,0
145.104.154.108,104.239.143.204,0
43.139.96.13,1.34.110.241,0
87.225.55.208,0.0.0.0,0
108.5.94.210,1.96.167.202,0
15.149.5.14,177.197.101.133,0
74.232.75.169,43.43.40.28,0
136.210.172.71,74.52.238.149,0
221.46.220.117,43.16.66.244,0
221.46.220.21,74.79.109.169,0
146.2.212.244,143.38.175.70,0
116.164.64.98,1.111.223.200,0
199.141.11.108,167.236.80.71,0
120.178.76.97,1.96.166.213,0
161.69.48.219,161.69.45.5,0
153.193.46.138,153.193.190.49,0
198.200.161.130,210.108.107.117,0
73.91.19.63,183.162.83.189,0
221.46.220.117,43.16.66.244,0
136.210.172.71,74.52.238.149,0
153.193.46.138,153.193.190.49,0
161.69.48.219,161.69.45.5,0
205.101.178.126,107.30.254.43,0
116.164.46.122,3.40.163.21,0
221.46.220.117,43.16.66.244,0
74.232.75.169,43.43.40.28,0
74.232.75.169,43.43.40.28,0
73.1.203.2,210.29.85.233,0
161.69.48.219,161.69.45.5,0
208.233.255.231,73.0.235.171,0
67.144.242.154,127.137.58.125,0
67.144.242.154,127.137.58.125,0
153.193.46.138,153.193.190.49,0
163.189.104.246,117.71.112.162,0
208.233.255.231,73.0.235.171,0
210.22.15.86,153.193.8.49,0
173.94.182.52,66.151.246.148,0
112.119.232.204,137.182.13.174,0
146.14.10.22,29.175.227.175,0
74.79.132.161,221.46.220.38,0
161.69.48.219,161.69.45.5,0
153.193.46.138,153.193.190.49,0
116.164.43.219,1.148.202.71,0
67.144.242.154,127.137.58.125,0
67.144.242.154,127.137.58.125,0
210.22.15.86,153.193.8.49,0
