src,dst,attack
161.254.176.102,0.0.0.0,0
216.192.233.165,90.145.217.187,0
161.254.176.102,0.0.0.0,0
216.192.233.165,90.145.217.187,0
128.21.221.219,1.96.166.199,0
208.233.254.247,115.46.206.237,0
161.69.48.219,161.69.45.5,0
216.192.233.165,90.145.217.187,0
73.193.98.9,35.240.203.254,0
73.193.98.9,35.240.203.254,0
207.131.121.34,1.96.167.214,0
146.2.212.117,139.16.85.56,0
198.115.23.216,1.96.194.188,0
103.190.55.134,217.252.210.138,0
161.254.176.102,0.0.0.0,0
103.190.55.134,217.252.210.138,0
161.254.176.102,0.0.0.0,0
216.192.233.165,90.145.217.187,0
198.88.220.237,198.88.219.113,0
161.254.176.102,0.0.0.0,0
161.254.176.102,0.0.0.0,0
73.1.179.193,1.96.186.148,0
161.254.176.102,0.0.0.0,0
216.192.233.165,90.145.217.187,0
161.254.176.102,0.0.0.0,0
102.6.152.193,221.46.220.202,0
73.1.179.193,1.96.186.148,0
161.69.48.219,161.69.45.5,0
208.233.254.247,115.46.206.237,0
161.254.176.102,0.0.0.0,0
216.192.233.165,90.145.217.187,0
161.254.176.102,0.0.0.0,0
201.7.226.224,202.205.107.211,0
161.254.176.102,0.0.0.0,0
64.99.242.199,74.238.229.214,0
161.254.176.102,0.0.0.0,0
161.254.176.102,0.0.0.0,0
153.193.46.192,210.29.35.159,0
161.254.176.102,0.0.0.0,0
102.6.152.193,221.46.220.202,0
157.13.170.167,111.205.228.170,0
87.221.31.87,104.209.101.95,0
208.233.254.247,115.46.206.237,0
161.69.48.219,161.69.45.5,0
201.35.135.185,113.167.156.63,0
198.88.219.48,198.88.221.45,0
198.115.23.216,1.96.194.188,0
191.22.66.117,65.141.132.168,0
112.92.246.45,1.96.166.199,0
136.46.254.14,0.0.0.0,0
191.22.66.117,65.141.132.168,0
67.231.118.179,220.27.151.113,0
73.1.179.193,1.96.186.148,0
199.63.145.74,67.231.121.86,0
102.6.152.193,221.46.220.202,0
