"","ow","n_good","n_evil","p_good","p_evil","n_fwd","n_div","p_fwd","p_div","n_tp","n_fp","tpr","fpr","log2n","log2m","t"
"83",595,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"84",596,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"85",597,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"86",598,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"87",599,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"88",600,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"89",601,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"90",602,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"91",603,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"92",604,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"93",605,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"94",606,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"95",607,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"96",608,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"97",609,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"98",610,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"99",611,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"100",612,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"101",613,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"102",614,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"103",615,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"104",616,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"105",617,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"106",618,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"107",619,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"108",620,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"109",621,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"110",622,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"111",623,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"112",624,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"113",625,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"114",626,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"115",627,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"116",628,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"117",629,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"118",630,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"119",631,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"120",632,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"121",633,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"122",634,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"123",635,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"124",636,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"125",637,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"126",638,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"127",639,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"128",640,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"129",641,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"130",642,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"131",643,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"132",644,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"133",645,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
