1459947780007845	153	2506752	0	151	2473984	0	0
1459947780015588	152	2505472	1180	150	2472704	1180	0
1459947780022646	150	2501732	4534	148	2468964	4534	0
1459947780029788	151	2499564	6177	147	2464236	8537	0
1459947780037241	154	2501405	7391	149	2462437	9527	0
1459947780044149	152	2500542	7607	147	2458219	12670	0
1459947780050805	149	2495907	11284	146	2453050	16444	0
1459947780058037	150	2492914	13160	148	2450845	17191	0
1459947780065323	152	2492715	12314	151	2452652	17513	0
1459947780072978	153	2493811	12362	150	2453038	16500	0
1459947780080486	155	2497382	14688	152	2455954	17898	0
1459947780087841	152	2496834	14045	149	2454802	17560	0
1459947780094807	150	2493768	15772	146	2449900	20706	0
1459947780102413	154	2496062	16654	152	2453061	22002	0
1459947780109584	148	2490497	20482	145	2447015	25856	0
1459947780116397	148	2485366	23610	146	2442721	27793	0
1459947780123591	152	2485756	22125	150	2443883	26692	0
1459947780130671	150	2483556	22423	146	2439834	28338	0
1459947780137366	151	2482808	21360	147	2437381	28384	0
1459947780145488	157	2489798	26135	154	2444080	32342	0
1459947780153039	155	2493682	27674	151	2446416	31968	0
1459947780160834	155	2497263	28812	152	2449849	32635	0
1459947780168150	151	2495444	28237	148	2447894	31886	0
1459947780176066	155	2498887	29204	151	2449932	31273	0
1459947780183115	148	2493101	32255	144	2442851	35356	0
1459947780190499	149	2489047	33471	147	2440163	35070	0
1459947780197909	154	2491710	33311	152	2444085	35945	0
1459947780205468	153	2492885	31791	149	2443860	33342	0
1459947780213216	153	2493968	30305	150	2444933	31726	0
1459947780221153	154	2496246	30037	153	2449762	33699	0
1459947780228895	153	2497066	28446	149	2449094	31681	0
1459947780236776	156	2501662	30460	153	2453598	33357	0
1459947780244924	155	2504619	30806	151	2455190	32218	0
1459947780251858	148	2498385	34145	146	2450258	34246	0
1459947780258957	150	2495198	34414	147	2446991	34581	0
1459947780266326	151	2493540	33252	149	2446539	32294	0
1459947780273885	150	2490732	33242	148	2444843	31334	0
1459947780281222	151	2489423	31850	150	2445839	29804	0
1459947780288475	148	2484376	34012	144	2439077	33707	0
1459947780295438	150	2482284	33282	147	2436684	33278	0
1459947780302956	150	2480355	32458	147	2434478	32711	0
1459947780310437	152	2481137	30643	151	2437564	33000	0
1459947780317732	151	2480578	28764	147	2435289	32517	0
1459947780325082	152	2481342	27221	149	2435752	30402	0
1459947780333003	150	2479487	26803	147	2433618	29992	0
1459947780340640	150	2477777	26285	148	2432931	28280	0
1459947780348429	154	2481320	27497	152	2437418	30206	0
1459947780355029	146	2474346	31776	144	2431314	33472	0
1459947780362930	152	2475597	30446	149	2432087	31570	0
1459947780369869	150	2474190	29363	147	2430240	30805	0
1459947780376625	149	2471613	29443	146	2427257	31147	0
1459947780384290	151	2471798	27312	149	2428347	29718	0
1459947780391947	154	2475808	28875	152	2433192	31862	0
1459947780399387	154	2479505	30027	153	2438938	34669	0
1459947780406076	147	2473953	32798	145	2433995	36515	0
1459947780412878	145	2466275	37312	144	2428159	39041	0
1459947780420058	150	2465597	35021	147	2426619	37409	0
1459947780427610	153	2468812	35248	148	2426479	34614	0
1459947780434925	152	2470496	34046	149	2427630	32970	0
1459947780443221	157	2478448	38717	153	2433811	36092	0
1459947780450828	153	2480659	37730	149	2434389	33805	0
1459947780458195	152	2481417	35481	149	2434922	31654	0
1459947780465606	153	2483396	34533	151	2437973	31994	0
1459947780472744	150	2481380	33692	147	2435666	31620	0
1459947780480378	155	2485922	35246	153	2441219	34268	0
1459947780487975	153	2487549	33992	150	2442498	32769	0
1459947780494854	146	2480089	38212	144	2435997	36200	0
1459947780501804	145	2471932	42745	142	2427444	41255	0
1459947780509280	149	2469532	41617	147	2425959	39399	0
1459947780516529	152	2471159	39865	150	2428430	38598	0
1459947780523727	150	2470099	37726	148	2428148	35841	0
1459947780530469	148	2466562	38038	145	2424048	36818	0
1459947780537453	152	2468421	36780	150	2426669	36357	0
1459947780545136	152	2470135	35486	149	2427805	34563	0
1459947780552505	152	2471715	34170	150	2430132	34007	0
1459947780559593	149	2469332	33696	145	2425877	35271	0
1459947780567307	154	2473535	34938	152	2430915	37159	0
1459947780574506	153	2476130	34600	149	2431719	34996	0
1459947780581707	151	2475962	32050	149	2432460	32945	0
1459947780588764	148	2471967	33228	145	2428024	34460	0
1459947780595764	148	2468284	34026	144	2422654	36716	0
